flow_row_id,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source_file,capture_date,label,detailedlabel
15,1676852368.372687,COIuOt3wQcRCREOzGa,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
16,1676852669.976742,CpKT0wuSite9jveRk,192.168.1.106,64001,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
17,1676852669.961758,C2hqMr2tDNBh6eKh26,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
18,1676852670.230817,Cyd6RS1MY1QWXo4IEa,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
19,1676852670.677612,CFpsc42vRD7cyRMCue,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
20,1676852972.593772,Cynsgs1GuIQNNt3aRa,192.168.1.106,58623,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
21,1676852972.580079,CErDUK2YcjAGEKPHi8,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
22,1676852972.848069,CnlUm6GcGtMcGAIz2,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
23,1676852973.817879,CHZAkeFbz84PE8h22,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
24,1676853275.344744,CJKSONtK2MAEjNnw4,192.168.1.106,64916,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
25,1676853275.330929,CRON9m4SgjDCCedkWg,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
26,1676853275.598785,Ckm3K6wLveKjMP09,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
27,1676853276.388804,CrcdyI2OCn0uqHk30a,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
28,1676853577.870278,CxdCsk3VdQLDqtTTx9,192.168.1.106,59953,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
29,1676853577.856575,CFl0Um3pheJXDvzV09,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
30,1676853578.127680,CJHPAtd5N55uvZkU3,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
31,1676853578.390332,CLa0nG2508fic4sLVb,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
32,1676853880.093779,C4epAOmkiV6lSEtEb,192.168.1.106,62625,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
33,1676853880.077739,C3Zmjbci2lntVFea7,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
34,1676853880.349599,CDJ6Qg4WIeu4ZKFSHf,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
35,1676853880.895128,CXLCEk3LVY9moFr089,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
36,1676854182.264396,CNXG1RPOK29k3HZ53,192.168.1.106,57234,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
37,1676854182.249009,CaMVtt4rJmPq2Y3zf6,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
38,1676854182.524632,CFI3RW3rGfS2d0DwEh,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
39,1676854183.178924,C1Vabv1vukHrLzEZA9,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
40,1676854487.918533,CmdTD7fBqOYIvzYb,192.168.1.106,58128,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
41,1676854487.905259,C57Q85AMIsE2aYWK7,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
42,1676854488.176471,Clk3CW2o5vsyBpnd43,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
43,1676854488.483679,C3QOUiqbzw8tWqd0a,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
44,1676854794.502934,Cdo5te1ylJbuPwy4gi,192.168.1.106,54796,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
45,1676854794.489704,CfEC0g1JlmIr0QzXZc,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
46,1676854794.761416,CQV2wu2KjRbK6x4M7a,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
47,1676854795.686256,Cxihzt1gIe3solNL65,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
48,1676855008.295573,Co0Whp2EajeiaEevuf,192.168.1.106,137,192.168.1.255,137,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
49,1676855008.296019,CQrMVT3h9ECP4kKUga,192.168.1.106,138,192.168.1.255,138,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
50,1676855097.178859,C6uCK549A4l1am3yQ8,192.168.1.106,62324,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
51,1676855097.165816,CffMLY3kryZGyUtBPj,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
52,1676855097.433234,Ck4teOSXZRoxUoXNd,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
53,1676855097.989306,CK3Sat3fZ8uyO5T1sb,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
54,1676855400.923307,Co3t3vSG32MrXMms7,192.168.1.106,60343,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
55,1676855400.908963,ChhYDN1MGnC5ZMUGW1,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
56,1676855401.175428,CFHFSC3SMb0HICUB85,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
57,1676855401.510469,CoJfUN3IiKTClTTyn2,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
58,1676855515.056454,ChZBCr4D1mz6cBoZY2,192.168.1.106,137,192.168.1.255,137,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
59,1676855515.057088,CeuNub7Xep7d7vH24,192.168.1.106,138,192.168.1.255,138,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
60,1676855703.704731,ChwJ1317YQ5XSI1MC5,192.168.1.106,56972,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
61,1676855703.689644,CNFlsj1vXkkszIcL93,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
62,1676855703.960814,CiOfgz23h06maZOYY2,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
63,1676855704.108373,CJMbuD4KztuP1fzLs2,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
64,1676856010.330074,CGXWKE2f8QwBtWXit4,192.168.1.106,64173,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
65,1676856010.317245,Cqv9OX3xyLlG34kGa6,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
66,1676856010.588557,CbtlOB37P9l1pAOOP8,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
67,1676856011.323898,CW5MQYalKNsnCQ7s,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
68,1676856313.096938,CmGQf23Ln1GGOpoa3b,192.168.1.106,55948,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
69,1676856313.079632,CuMkeoSuuuU8XYwm1,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
70,1676856313.351951,CRiLCv1uWLDUyyXkB9,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
71,1676856315.012511,CUL0FZ3vn1m7Tk3pJ7,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
72,1676856615.706920,CDqWBJ2Mo1ayxQ5Xc,192.168.1.106,61294,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
73,1676856615.690749,CB62kw4TrF5xT2TT64,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
74,1676856615.961389,C4bO9G1FyWRvoJHuG,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
75,1676856616.073028,C7e5cG46Oc87A1frC,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
76,1676856918.328420,CN3FfRJkWFXG338Wd,192.168.1.106,62436,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
77,1676856918.315642,C8ek2K3tLMg2z0HpOf,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
78,1676856918.588207,Cc8Z9D29eSWPLPwTih,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
79,1676856919.306654,CWg9dz1ImLYCnz3jGk,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
80,1676857223.136493,CJgCTgu8M9PLJBB8g,192.168.1.106,56657,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
81,1676857223.122705,CrGZ5k4yuAWlCX16b,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
82,1676857223.395686,CbISWd3odlWrQaerT5,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
83,1676857223.970443,CjELDd23hVUtETIFdl,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
84,1676857523.354857,CwUic622kUgoz96dhl,192.168.1.106,56645,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
85,1676857523.340229,CHuUUq3blp0zhO7Nr3,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
86,1676857523.609800,C6J3BO3LL4HObuTbQ9,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
87,1676857524.400487,Cw4KDlIIHbAKfPk38,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
88,1676857834.373114,CYNhI825H1Rs74STRj,192.168.1.106,64880,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
89,1676857834.360301,CIWmT64SmiWNI7tJC5,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
90,1676857834.627947,CWUehc4pVJ0HVXQoQh,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
91,1676857835.394889,Cf0xuR37wIcyt6aFYe,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
92,1676858136.393955,CtUn6K3Ua0vzUwYmx6,192.168.1.106,51613,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
