evidence_id,timestamp_utc,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,conn_state,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,history
FLOW-11470,2023-02-21T11:55:06.782525Z,C7Y3g4AEG6T7n5Ym1,192.168.1.107,49530,66.63.168.35,5888,tcp,ssl,SF,1.973804,24988.0,486734.0,490,711,ShADTagdtttTFf
FLOW-11604,2023-02-21T12:09:39.596509Z,CekIFc6Za2gm2pDi2,192.168.1.107,49689,66.63.168.35,5888,tcp,ssl,RSTR,10.107128,3208845.0,2057.0,4718,1847,ShADTadtTTtTr
FLOW-12327,2023-02-21T13:10:20.480807Z,Cmnqe14ttrrCOeyaB5,192.168.1.107,49944,66.63.168.35,5888,tcp,ssl,RSTR,8.828297,2220088.0,1678.0,3213,1568,ShADadtTTTGgtTr
FLOW-12632,2023-02-21T13:44:09.252983Z,C2WR2hBsnvHNVaiCd,192.168.1.107,49972,66.63.168.35,5888,tcp,ssl,RSTR,11.732989,2907123.0,2020.0,4040,1899,ShADTadtTTgGtGTfr
FLOW-12955,2023-02-21T14:19:31.708981Z,CEezey3ngHWGSOJh31,192.168.1.107,49998,66.63.168.35,5888,tcp,ssl,RSTR,25.773331,6457702.0,3692.0,9434,4156,ShADTadtTTtTr
FLOW-13494,2023-02-21T15:17:21.180252Z,Cx00Ui4nSoupq7XcDc,192.168.1.107,50046,66.63.168.35,5888,tcp,missing,REJ,0.016825,0.0,0.0,2,2,Sr
FLOW-13495,2023-02-21T15:17:21.705931Z,CDZ2kJ1elWq4gxr4Fa,192.168.1.107,50046,66.63.168.35,5888,tcp,missing,REJ,0.017038,0.0,0.0,2,2,Sr
FLOW-13504,2023-02-21T15:17:22.223423Z,C9hOlI1atIMGlvMhp3,192.168.1.107,50046,66.63.168.35,5888,tcp,missing,REJ,0.016806,0.0,0.0,2,2,Sr
FLOW-13496,2023-02-21T15:17:23.258981Z,C5gpx4iA8PuOrlA8c,192.168.1.107,50047,66.63.168.35,5888,tcp,missing,REJ,0.037701,0.0,0.0,2,2,Sr
FLOW-13497,2023-02-21T15:17:23.800667Z,CTdNIVG9OZvwyJwu1,192.168.1.107,50047,66.63.168.35,5888,tcp,missing,REJ,0.054092,0.0,0.0,2,2,Sr
FLOW-13509,2023-02-21T15:17:24.359242Z,Cgwtb62jYN6LWVtrEg,192.168.1.107,50047,66.63.168.35,5888,tcp,missing,REJ,0.037811,0.0,0.0,2,2,Sr
FLOW-13501,2023-02-21T15:17:25.413115Z,CtVtqn4knaHjIH61q2,192.168.1.107,50048,66.63.168.35,5888,tcp,missing,REJ,0.028206,0.0,0.0,2,2,Sr
FLOW-13502,2023-02-21T15:17:25.947002Z,CORVXb2ZkqpK2j4mdg,192.168.1.107,50048,66.63.168.35,5888,tcp,missing,REJ,0.028164,0.0,0.0,2,2,Sr
FLOW-13512,2023-02-21T15:17:26.482250Z,C81oKr2NyxJ0SObeO4,192.168.1.107,50048,66.63.168.35,5888,tcp,missing,REJ,0.028361,0.0,0.0,2,2,Sr
FLOW-13507,2023-02-21T15:17:27.537333Z,CEoEVU1PwfI3dtSJ5a,192.168.1.107,50049,66.63.168.35,5888,tcp,missing,REJ,0.028216,0.0,0.0,2,2,Sr
FLOW-13508,2023-02-21T15:17:28.070005Z,CGHL5C10y7jNNuhN8f,192.168.1.107,50049,66.63.168.35,5888,tcp,missing,REJ,0.025221,0.0,0.0,2,2,Sr
FLOW-13515,2023-02-21T15:17:28.606245Z,CpdDsh1teWPDx0fOZ3,192.168.1.107,50049,66.63.168.35,5888,tcp,missing,REJ,0.02554,0.0,0.0,2,2,Sr
FLOW-13510,2023-02-21T15:17:29.653671Z,C3kN6F3lgXSvxUKsIj,192.168.1.107,50050,66.63.168.35,5888,tcp,missing,REJ,0.017045,0.0,0.0,2,2,Sr
FLOW-13511,2023-02-21T15:17:30.172739Z,CiDFac19Bj1TptF8b7,192.168.1.107,50050,66.63.168.35,5888,tcp,missing,REJ,0.016834,0.0,0.0,2,2,Sr
FLOW-13518,2023-02-21T15:17:30.685611Z,CCx2CRjeU0HIxdKkh,192.168.1.107,50050,66.63.168.35,5888,tcp,missing,REJ,0.016988,0.0,0.0,2,2,Sr
FLOW-13513,2023-02-21T15:17:31.710330Z,C6XKuc1TGS4CNX76jb,192.168.1.107,50051,66.63.168.35,5888,tcp,missing,REJ,0.016825,0.0,0.0,2,2,Sr
FLOW-13514,2023-02-21T15:17:32.234726Z,CCP0S1PWPmPTCyD32,192.168.1.107,50051,66.63.168.35,5888,tcp,missing,REJ,0.01716,0.0,0.0,2,2,Sr
FLOW-13521,2023-02-21T15:17:32.753400Z,CLQOlk0KCOF55aJFc,192.168.1.107,50051,66.63.168.35,5888,tcp,missing,REJ,0.016789,0.0,0.0,2,2,Sr
FLOW-13516,2023-02-21T15:17:33.793163Z,CPDu0L1gh4f8lCQTsk,192.168.1.107,50052,66.63.168.35,5888,tcp,missing,REJ,0.025609,0.0,0.0,2,2,Sr
FLOW-13517,2023-02-21T15:17:34.327781Z,CMNozPBZBGGgLGEDb,192.168.1.107,50052,66.63.168.35,5888,tcp,missing,REJ,0.025802,0.0,0.0,2,2,Sr
FLOW-13525,2023-02-21T15:17:34.854142Z,CrtFQg4KnDvefxSiG2,192.168.1.107,50052,66.63.168.35,5888,tcp,missing,REJ,0.025476,0.0,0.0,2,2,Sr
FLOW-13519,2023-02-21T15:17:35.891892Z,C9v17a2kUqgsijQCn1,192.168.1.107,50053,66.63.168.35,5888,tcp,missing,REJ,0.036189,0.0,0.0,2,2,Sr
FLOW-13520,2023-02-21T15:17:36.447694Z,CQoDzU2RA6dzhfjig3,192.168.1.107,50053,66.63.168.35,5888,tcp,missing,REJ,0.036199,0.0,0.0,2,2,Sr
FLOW-13528,2023-02-21T15:17:36.981987Z,CX97Uxe1qx9jRf7Wc,192.168.1.107,50053,66.63.168.35,5888,tcp,missing,REJ,0.03639,0.0,0.0,2,2,Sr
FLOW-13523,2023-02-21T15:17:38.028551Z,C6NXla4UPUachDmK3f,192.168.1.107,50054,66.63.168.35,5888,tcp,missing,REJ,0.04177,0.0,0.0,2,2,Sr
FLOW-13524,2023-02-21T15:17:38.580121Z,CtCelu3NKttBGxr3je,192.168.1.107,50054,66.63.168.35,5888,tcp,missing,REJ,0.041979,0.0,0.0,2,2,Sr
FLOW-13531,2023-02-21T15:17:39.118769Z,CTw7C12hvRn2Cfqhh8,192.168.1.107,50054,66.63.168.35,5888,tcp,missing,REJ,0.041926,0.0,0.0,2,2,Sr
FLOW-13526,2023-02-21T15:17:40.174920Z,CHx2eo191gq6Yy1Ypg,192.168.1.107,50055,66.63.168.35,5888,tcp,missing,REJ,0.016941,0.0,0.0,2,2,Sr
FLOW-13527,2023-02-21T15:17:40.704138Z,CBaYNgRuljG5uX597,192.168.1.107,50055,66.63.168.35,5888,tcp,missing,REJ,0.016921,0.0,0.0,2,2,Sr
FLOW-13534,2023-02-21T15:17:41.220985Z,CXVHy01I75WOOLzszj,192.168.1.107,50055,66.63.168.35,5888,tcp,missing,REJ,0.016935,0.0,0.0,2,2,Sr
FLOW-13529,2023-02-21T15:17:42.263953Z,CjQHcH2u1bBqxc0Ejl,192.168.1.107,50056,66.63.168.35,5888,tcp,missing,REJ,0.028278,0.0,0.0,2,2,Sr
FLOW-13530,2023-02-21T15:17:42.795067Z,CmLZUS1K8N4TCU6Pd2,192.168.1.107,50056,66.63.168.35,5888,tcp,missing,REJ,0.028513,0.0,0.0,2,2,Sr
FLOW-13538,2023-02-21T15:17:43.335927Z,CagWXE2Lfh2ZMIUcx3,192.168.1.107,50056,66.63.168.35,5888,tcp,missing,REJ,0.025836,0.0,0.0,2,2,Sr
FLOW-13532,2023-02-21T15:17:44.373292Z,CqGPLuXIqOiv1oyM7,192.168.1.107,50057,66.63.168.35,5888,tcp,missing,REJ,0.037594,0.0,0.0,2,2,Sr
FLOW-13533,2023-02-21T15:17:44.912628Z,CC3Q33c4tyFxyEgaf,192.168.1.107,50057,66.63.168.35,5888,tcp,missing,REJ,0.037664,0.0,0.0,2,2,Sr
FLOW-13541,2023-02-21T15:17:45.450050Z,C941Ct1fEc8U4WdSAk,192.168.1.107,50057,66.63.168.35,5888,tcp,missing,REJ,0.037616,0.0,0.0,2,2,Sr
FLOW-13535,2023-02-21T15:17:46.506612Z,CRPzP83rI1wjntR03,192.168.1.107,50058,66.63.168.35,5888,tcp,missing,REJ,0.031421,0.0,0.0,2,2,Sr
FLOW-13537,2023-02-21T15:17:47.053356Z,CtxsUY2f7DpGv4E7N9,192.168.1.107,50058,66.63.168.35,5888,tcp,missing,REJ,0.031583,0.0,0.0,2,2,Sr
FLOW-13544,2023-02-21T15:17:47.589453Z,CW1GGH1dvwv3sRCMw5,192.168.1.107,50058,66.63.168.35,5888,tcp,missing,REJ,0.031275,0.0,0.0,2,2,Sr
FLOW-13539,2023-02-21T15:17:48.661475Z,C8rgydNwxB1Q0jWAk,192.168.1.107,50059,66.63.168.35,5888,tcp,missing,REJ,0.025275,0.0,0.0,2,2,Sr
FLOW-13540,2023-02-21T15:17:49.192405Z,CIxaswZRz2XaghAP5,192.168.1.107,50059,66.63.168.35,5888,tcp,missing,REJ,0.025336,0.0,0.0,2,2,Sr
FLOW-13547,2023-02-21T15:17:49.721506Z,CBUOUn2t8EcHfK6oJb,192.168.1.107,50059,66.63.168.35,5888,tcp,missing,REJ,0.025393,0.0,0.0,2,2,Sr
FLOW-13542,2023-02-21T15:17:50.758449Z,CoOWgV277Lkhdf2QGh,192.168.1.107,50060,66.63.168.35,5888,tcp,missing,REJ,0.0282,0.0,0.0,2,2,Sr
FLOW-13543,2023-02-21T15:17:51.287681Z,C0eonIvgFg0G8TOZe,192.168.1.107,50060,66.63.168.35,5888,tcp,missing,REJ,0.02888,0.0,0.0,2,2,Sr
FLOW-13550,2023-02-21T15:17:51.819849Z,CHdiH3vPkITfTxmOf,192.168.1.107,50060,66.63.168.35,5888,tcp,missing,REJ,0.028262,0.0,0.0,2,2,Sr
FLOW-13545,2023-02-21T15:17:52.863912Z,CjdRqh2Wy2lneEZhLl,192.168.1.107,50061,66.63.168.35,5888,tcp,missing,REJ,0.031656,0.0,0.0,2,2,Sr
FLOW-13546,2023-02-21T15:17:53.409143Z,CIlTRE360G3bhq2Sl6,192.168.1.107,50061,66.63.168.35,5888,tcp,missing,REJ,0.031604,0.0,0.0,2,2,Sr
FLOW-13553,2023-02-21T15:17:53.944077Z,Ca8uqh2NiC1rdJSCY3,192.168.1.107,50061,66.63.168.35,5888,tcp,missing,REJ,0.031494,0.0,0.0,2,2,Sr
FLOW-13548,2023-02-21T15:17:54.991293Z,C7f5cn1nfE5HriPZy7,192.168.1.107,50062,66.63.168.35,5888,tcp,missing,REJ,0.028495,0.0,0.0,2,2,Sr
FLOW-13549,2023-02-21T15:17:55.534688Z,CsJ45s3Zg7TwgVomvk,192.168.1.107,50062,66.63.168.35,5888,tcp,missing,REJ,0.028599,0.0,0.0,2,2,Sr
FLOW-13556,2023-02-21T15:17:56.069361Z,CRpF1dMVga3icEbLj,192.168.1.107,50062,66.63.168.35,5888,tcp,missing,REJ,0.028533,0.0,0.0,2,2,Sr
FLOW-13551,2023-02-21T15:17:57.128422Z,C6BE5Z1cG7R13vxBYh,192.168.1.107,50063,66.63.168.35,5888,tcp,missing,REJ,0.033259,0.0,0.0,2,2,Sr
FLOW-13552,2023-02-21T15:17:57.662777Z,C6jKYK1pfOGAGFLps8,192.168.1.107,50063,66.63.168.35,5888,tcp,missing,REJ,0.033378,0.0,0.0,2,2,Sr
FLOW-13559,2023-02-21T15:17:58.199790Z,CBzJPxi2GnsNPMB8e,192.168.1.107,50063,66.63.168.35,5888,tcp,missing,REJ,0.033404,0.0,0.0,2,2,Sr
FLOW-13554,2023-02-21T15:17:59.245431Z,CQ6JEl2f6rDzmEUnge,192.168.1.107,50064,66.63.168.35,5888,tcp,missing,REJ,0.028477,0.0,0.0,2,2,Sr
FLOW-13555,2023-02-21T15:17:59.787853Z,C9Hoqm2BS9rVan8Ne3,192.168.1.107,50064,66.63.168.35,5888,tcp,missing,REJ,0.028519,0.0,0.0,2,2,Sr
FLOW-13562,2023-02-21T15:18:00.321614Z,CMoK8J3g70VlL04vh1,192.168.1.107,50064,66.63.168.35,5888,tcp,missing,REJ,0.028816,0.0,0.0,2,2,Sr
FLOW-13557,2023-02-21T15:18:01.405174Z,CBvBDR2QlNBsLNBOB1,192.168.1.107,50065,66.63.168.35,5888,tcp,missing,REJ,0.025373,0.0,0.0,2,2,Sr
FLOW-13558,2023-02-21T15:18:01.925571Z,CEDZr133XxebWLuq1b,192.168.1.107,50065,66.63.168.35,5888,tcp,missing,REJ,0.025344,0.0,0.0,2,2,Sr
FLOW-13565,2023-02-21T15:18:02.452071Z,Cdyo672q7FDJj21tab,192.168.1.107,50065,66.63.168.35,5888,tcp,missing,REJ,0.025282,0.0,0.0,2,2,Sr
FLOW-13560,2023-02-21T15:18:03.498131Z,CWypV67YgqZduNf2a,192.168.1.107,50066,66.63.168.35,5888,tcp,missing,REJ,0.017218,0.0,0.0,2,2,Sr
FLOW-13561,2023-02-21T15:18:04.023328Z,Chl3UM1LC3wGU0S2a4,192.168.1.107,50066,66.63.168.35,5888,tcp,missing,REJ,0.016984,0.0,0.0,2,2,Sr
FLOW-13568,2023-02-21T15:18:04.534461Z,CCszDY3eydzFi7vXo3,192.168.1.107,50066,66.63.168.35,5888,tcp,missing,REJ,0.017185,0.0,0.0,2,2,Sr
FLOW-13563,2023-02-21T15:18:05.557529Z,CXoNru2DAj6KA8AVVe,192.168.1.107,50067,66.63.168.35,5888,tcp,missing,REJ,0.033041,0.0,0.0,2,2,Sr
FLOW-13564,2023-02-21T15:18:06.090581Z,CUHgS54wbbmKg50Skh,192.168.1.107,50067,66.63.168.35,5888,tcp,missing,REJ,0.032999,0.0,0.0,2,2,Sr
FLOW-13571,2023-02-21T15:18:06.634588Z,CfpCYg1Gv2NvFJQvfj,192.168.1.107,50067,66.63.168.35,5888,tcp,missing,REJ,0.032975,0.0,0.0,2,2,Sr
FLOW-13566,2023-02-21T15:18:07.677272Z,CYoghn1iFpQLjEgQ7f,192.168.1.107,50068,66.63.168.35,5888,tcp,missing,REJ,0.016876,0.0,0.0,2,2,Sr
FLOW-13567,2023-02-21T15:18:08.199001Z,CSsblV2omZ01S3LW4k,192.168.1.107,50068,66.63.168.35,5888,tcp,missing,REJ,0.016954,0.0,0.0,2,2,Sr
FLOW-13575,2023-02-21T15:18:08.731648Z,CLpIFt3cTvKSnJ4IQk,192.168.1.107,50068,66.63.168.35,5888,tcp,missing,REJ,0.016904,0.0,0.0,2,2,Sr
FLOW-13569,2023-02-21T15:18:09.756958Z,CS7A8L1bA00M67rEZe,192.168.1.107,50069,66.63.168.35,5888,tcp,missing,REJ,0.0169,0.0,0.0,2,2,Sr
FLOW-13570,2023-02-21T15:18:10.289020Z,Csebo6EeIhSTV78K2,192.168.1.107,50069,66.63.168.35,5888,tcp,missing,REJ,0.017168,0.0,0.0,2,2,Sr
FLOW-13578,2023-02-21T15:18:10.814234Z,CLmhp8Psrv231psLl,192.168.1.107,50069,66.63.168.35,5888,tcp,missing,REJ,0.017263,0.0,0.0,2,2,Sr
FLOW-13572,2023-02-21T15:18:11.851124Z,CWMHWqMlNMfhXsfn7,192.168.1.107,50070,66.63.168.35,5888,tcp,missing,REJ,0.016983,0.0,0.0,2,2,Sr
FLOW-13574,2023-02-21T15:18:12.380269Z,CD70w74xLChLF2SIXd,192.168.1.107,50070,66.63.168.35,5888,tcp,missing,REJ,0.01691,0.0,0.0,2,2,Sr
FLOW-13581,2023-02-21T15:18:12.906295Z,CujrLr2eatI5gu1Y7f,192.168.1.107,50070,66.63.168.35,5888,tcp,missing,REJ,0.016963,0.0,0.0,2,2,Sr
FLOW-13576,2023-02-21T15:18:13.953197Z,C7VuXdYf55GeG0Ds6,192.168.1.107,50071,66.63.168.35,5888,tcp,missing,REJ,0.016905,0.0,0.0,2,2,Sr
FLOW-13577,2023-02-21T15:18:14.472312Z,Clk06A6Q87gvceU35,192.168.1.107,50071,66.63.168.35,5888,tcp,missing,REJ,0.016882,0.0,0.0,2,2,Sr
FLOW-13584,2023-02-21T15:18:14.999411Z,CLqiLzWmgbYSUxs7j,192.168.1.107,50071,66.63.168.35,5888,tcp,missing,REJ,0.017172,0.0,0.0,2,2,Sr
FLOW-13579,2023-02-21T15:18:16.025768Z,CMLD2Way7XhKFFrx9,192.168.1.107,50072,66.63.168.35,5888,tcp,missing,REJ,0.017116,0.0,0.0,2,2,Sr
FLOW-13580,2023-02-21T15:18:16.552620Z,CtsKlf3ruUSTznnoEi,192.168.1.107,50072,66.63.168.35,5888,tcp,missing,REJ,0.017218,0.0,0.0,2,2,Sr
FLOW-13587,2023-02-21T15:18:17.072017Z,CeTjPL3DJubkQncM66,192.168.1.107,50072,66.63.168.35,5888,tcp,missing,REJ,0.017319,0.0,0.0,2,2,Sr
FLOW-13582,2023-02-21T15:18:18.103420Z,CJBClZ2WsOGZi7bNHf,192.168.1.107,50073,66.63.168.35,5888,tcp,missing,REJ,0.028488,0.0,0.0,2,2,Sr
FLOW-13583,2023-02-21T15:18:18.626020Z,CSXM5m4olGBi3LH5rk,192.168.1.107,50073,66.63.168.35,5888,tcp,missing,REJ,0.028576,0.0,0.0,2,2,Sr
FLOW-13590,2023-02-21T15:18:19.160917Z,CyaAjSYRMD8tJaQXk,192.168.1.107,50073,66.63.168.35,5888,tcp,missing,REJ,0.028627,0.0,0.0,2,2,Sr
FLOW-13585,2023-02-21T15:18:20.216655Z,CwY2z44VhHWNlDRSoh,192.168.1.107,50075,66.63.168.35,5888,tcp,missing,REJ,0.025333,0.0,0.0,2,2,Sr
FLOW-13586,2023-02-21T15:18:20.739857Z,C09muEbc35nLqtAle,192.168.1.107,50075,66.63.168.35,5888,tcp,missing,REJ,0.02537,0.0,0.0,2,2,Sr
FLOW-13595,2023-02-21T15:18:21.274761Z,CSkuQD4aruKnuMBx32,192.168.1.107,50075,66.63.168.35,5888,tcp,missing,REJ,0.02517,0.0,0.0,2,2,Sr
FLOW-13588,2023-02-21T15:18:22.311487Z,CxCvM13EKF4hkg1ng,192.168.1.107,50076,66.63.168.35,5888,tcp,missing,REJ,0.033105,0.0,0.0,2,2,Sr
FLOW-13589,2023-02-21T15:18:22.850585Z,CmDLdEwJcVYVAhnph,192.168.1.107,50076,66.63.168.35,5888,tcp,missing,REJ,0.033326,0.0,0.0,2,2,Sr
FLOW-13598,2023-02-21T15:18:23.389431Z,CtGuxZ9wJjfjjRfMl,192.168.1.107,50076,66.63.168.35,5888,tcp,missing,REJ,0.033266,0.0,0.0,2,2,Sr
FLOW-13592,2023-02-21T15:18:24.443870Z,CVNqry3b98d8KtV9T8,192.168.1.107,50077,66.63.168.35,5888,tcp,missing,REJ,0.01681,0.0,0.0,2,2,Sr
FLOW-13594,2023-02-21T15:18:24.975627Z,COAhzp2s0Ad8TCaxW4,192.168.1.107,50077,66.63.168.35,5888,tcp,missing,REJ,0.017189,0.0,0.0,2,2,Sr
FLOW-13602,2023-02-21T15:18:25.500798Z,CdfXv529TFf9H8xbf8,192.168.1.107,50077,66.63.168.35,5888,tcp,missing,REJ,0.017187,0.0,0.0,2,2,Sr
FLOW-13596,2023-02-21T15:18:26.532295Z,Cdbk0uDPlgJduSIH7,192.168.1.107,50078,66.63.168.35,5888,tcp,missing,REJ,0.016977,0.0,0.0,2,2,Sr
FLOW-13597,2023-02-21T15:18:27.060352Z,CD81udeoAA6T29Rfj,192.168.1.107,50078,66.63.168.35,5888,tcp,missing,REJ,0.01721,0.0,0.0,2,2,Sr
FLOW-13605,2023-02-21T15:18:27.588460Z,CbY3rsuct3E3LJGma,192.168.1.107,50078,66.63.168.35,5888,tcp,missing,REJ,0.017032,0.0,0.0,2,2,Sr
FLOW-13599,2023-02-21T15:18:28.635041Z,Cw7nUMEDEcIlluDId,192.168.1.107,50079,66.63.168.35,5888,tcp,missing,REJ,0.017157,0.0,0.0,2,2,Sr
FLOW-13600,2023-02-21T15:18:29.150316Z,CALK6v15KvRXlJQdMj,192.168.1.107,50079,66.63.168.35,5888,tcp,missing,REJ,0.017031,0.0,0.0,2,2,Sr
FLOW-13608,2023-02-21T15:18:29.693144Z,CavAo21T658uLBNN6,192.168.1.107,50079,66.63.168.35,5888,tcp,missing,REJ,0.017108,0.0,0.0,2,2,Sr
FLOW-13603,2023-02-21T15:18:30.731766Z,CgjTVevQstnLIOwq8,192.168.1.107,50080,66.63.168.35,5888,tcp,missing,REJ,0.026309,0.0,0.0,2,2,Sr
FLOW-13604,2023-02-21T15:18:31.257719Z,CyVGfqFUPHWI7Raml,192.168.1.107,50080,66.63.168.35,5888,tcp,missing,REJ,0.026302,0.0,0.0,2,2,Sr
FLOW-13611,2023-02-21T15:18:31.789264Z,CBYPRpmFDNSf3oGd9,192.168.1.107,50080,66.63.168.35,5888,tcp,missing,REJ,0.026353,0.0,0.0,2,2,Sr
FLOW-13606,2023-02-21T15:18:32.830786Z,Cb5mXv6CIHlzXAGFl,192.168.1.107,50081,66.63.168.35,5888,tcp,missing,REJ,0.03693,0.0,0.0,2,2,Sr
FLOW-13607,2023-02-21T15:18:33.382148Z,CQx8oehuK8wiIu896,192.168.1.107,50081,66.63.168.35,5888,tcp,missing,REJ,0.03681,0.0,0.0,2,2,Sr
FLOW-13615,2023-02-21T15:18:33.918034Z,CsuQDD4tZNVBvXJMSk,192.168.1.107,50081,66.63.168.35,5888,tcp,missing,REJ,0.03671,0.0,0.0,2,2,Sr
FLOW-13609,2023-02-21T15:18:34.971179Z,CZiAi2MoWR2dmfOn3,192.168.1.107,50082,66.63.168.35,5888,tcp,missing,REJ,0.030676,0.0,0.0,2,2,Sr
FLOW-13610,2023-02-21T15:18:35.495946Z,CnRKG12GY3UTGL7sK4,192.168.1.107,50082,66.63.168.35,5888,tcp,missing,REJ,0.030592,0.0,0.0,2,2,Sr
FLOW-13618,2023-02-21T15:18:36.029509Z,CY6n1x2yhXSTZv9O96,192.168.1.107,50082,66.63.168.35,5888,tcp,missing,REJ,0.031971,0.0,0.0,2,2,Sr
FLOW-13613,2023-02-21T15:18:37.094635Z,CkjACq1544bm3ECDf8,192.168.1.107,50083,66.63.168.35,5888,tcp,missing,REJ,0.016864,0.0,0.0,2,2,Sr
FLOW-13614,2023-02-21T15:18:37.611308Z,CWmody1KQuuv5ayB91,192.168.1.107,50083,66.63.168.35,5888,tcp,missing,REJ,0.01694,0.0,0.0,2,2,Sr
FLOW-13621,2023-02-21T15:18:38.135749Z,CuEPZe4Il99cUH8zP2,192.168.1.107,50083,66.63.168.35,5888,tcp,missing,REJ,0.017041,0.0,0.0,2,2,Sr
FLOW-13616,2023-02-21T15:18:39.172909Z,CGV6j4iz0BAkq501i,192.168.1.107,50084,66.63.168.35,5888,tcp,missing,REJ,0.016884,0.0,0.0,2,2,Sr
FLOW-13617,2023-02-21T15:18:39.704185Z,CT1AbY1UbRwx02DI13,192.168.1.107,50084,66.63.168.35,5888,tcp,missing,REJ,0.016987,0.0,0.0,2,2,Sr
FLOW-13624,2023-02-21T15:18:40.231262Z,CRjKhL1gKdUP2Ni6Xg,192.168.1.107,50084,66.63.168.35,5888,tcp,missing,REJ,0.016875,0.0,0.0,2,2,Sr
FLOW-13619,2023-02-21T15:18:41.332446Z,CoAXsk4vabDTkhoIK3,192.168.1.107,50085,66.63.168.35,5888,tcp,missing,REJ,0.016984,0.0,0.0,2,2,Sr
FLOW-13620,2023-02-21T15:18:41.868262Z,CgQ8UM1oBEHEPMDKsd,192.168.1.107,50085,66.63.168.35,5888,tcp,missing,REJ,0.016915,0.0,0.0,2,2,Sr
FLOW-13627,2023-02-21T15:18:42.396473Z,C376wu1RRduVQnSRo1,192.168.1.107,50085,66.63.168.35,5888,tcp,missing,REJ,0.016916,0.0,0.0,2,2,Sr
FLOW-13622,2023-02-21T15:18:43.421700Z,CvjMvf2SKpbicrilH4,192.168.1.107,50086,66.63.168.35,5888,tcp,missing,REJ,0.02807,0.0,0.0,2,2,Sr
FLOW-13623,2023-02-21T15:18:43.958606Z,C4O7iyUeSh76PPJf,192.168.1.107,50086,66.63.168.35,5888,tcp,missing,REJ,0.028148,0.0,0.0,2,2,Sr
FLOW-13630,2023-02-21T15:18:44.503812Z,CHMibS20ZuYOQ6Yy2,192.168.1.107,50086,66.63.168.35,5888,tcp,missing,REJ,0.028138,0.0,0.0,2,2,Sr
FLOW-13625,2023-02-21T15:18:45.557043Z,CHM7fL3yME3k6TMvZ2,192.168.1.107,50087,66.63.168.35,5888,tcp,missing,REJ,0.016761,0.0,0.0,2,2,Sr
FLOW-13626,2023-02-21T15:18:46.092930Z,C2RaUy2ZGXHGnPwzS2,192.168.1.107,50087,66.63.168.35,5888,tcp,missing,REJ,0.016813,0.0,0.0,2,2,Sr
FLOW-13633,2023-02-21T15:18:46.611310Z,CsKhKA2zkUpkmU1E9d,192.168.1.107,50087,66.63.168.35,5888,tcp,missing,REJ,0.016859,0.0,0.0,2,2,Sr
FLOW-13628,2023-02-21T15:18:47.639906Z,CV7GWq35zk6SgwJrUl,192.168.1.107,50088,66.63.168.35,5888,tcp,missing,REJ,0.028,0.0,0.0,2,2,Sr
